group,method,n,mean,ci_low,ci_high
scifact,bm25,45,0.6045010497333547,0.46315077381279735,0.73665767403095
scifact,dense,45,0.6681194885361551,0.5384876543209877,0.793470734126984
scifact,static_rrf,45,0.6403719506076063,0.515753512655152,0.7525883541170426
scifact,wrrf_weak,45,0.6401974173507786,0.5131656834450953,0.7616109210098181
scifact,wrrf_strong,45,0.6570500219403728,0.5290739867872543,0.7769010982316903
scifact,moe,45,0.6656214034890505,0.5321909098269393,0.7935134680134679
nfcorpus,bm25,45,0.4455039186278361,0.3284703121178873,0.5800476881947517
nfcorpus,dense,45,0.46819233200543253,0.34254044896136515,0.6015257335926806
nfcorpus,static_rrf,45,0.4705156464576754,0.33988195272253247,0.6105406131710479
nfcorpus,wrrf_weak,45,0.49473869348967114,0.3694547858746727,0.6356794600700982
nfcorpus,wrrf_strong,45,0.4816124198398301,0.35742752603542566,0.6183463844086831
nfcorpus,moe,45,0.4915681999091229,0.3596713581495488,0.6291883060706148
arguana,bm25,45,0.14628393001623605,0.1068943939806217,0.1903242828636948
arguana,dense,45,0.2602933605544346,0.21349524426079075,0.3098087295981738
arguana,static_rrf,45,0.21711186737493923,0.17398153192728358,0.26468395137904943
arguana,wrrf_weak,45,0.25334980954759295,0.20475168560324145,0.3027193316061602
arguana,wrrf_strong,45,0.25667077440651176,0.2097568860603758,0.3051875673483224
arguana,moe,45,0.2535990640147772,0.20726591217847892,0.30138189223057643
fiqa,bm25,45,0.274337210927998,0.1638976815563238,0.38716529213342926
fiqa,dense,45,0.44682214778024104,0.33552079792156186,0.5663021867432116
fiqa,static_rrf,45,0.3937757377495205,0.28598920121298405,0.508842501075179
fiqa,wrrf_weak,45,0.43890782706572185,0.3229169910661139,0.5591738266606688
fiqa,wrrf_strong,45,0.4482689292949097,0.33243364927288954,0.5688151121071096
fiqa,moe,45,0.4555923707487859,0.33948090114947016,0.5758264991181657
scidocs,bm25,45,0.3394554155067995,0.2342621295919534,0.4487764042641144
scidocs,dense,45,0.4018898168100278,0.2989039344973329,0.5205155872164132
scidocs,static_rrf,45,0.43203803164609433,0.31989643356104724,0.5552521988608213
scidocs,wrrf_weak,45,0.45857441799997667,0.3436238996455276,0.5783059519183638
scidocs,wrrf_strong,45,0.42312367678631535,0.3149541543876559,0.5431916248955722
scidocs,moe,45,0.442578592947014,0.3311672027290449,0.565638596491228
MACRO,bm25,225,0.36201630496244486,0.30666981038502067,0.41729748087985036
MACRO,dense,225,0.4490634291372582,0.39110519139365335,0.5002822405155515
MACRO,static_rrf,225,0.4307626467671672,0.3726329229380677,0.48492574384523385
MACRO,wrrf_weak,225,0.45715363309074825,0.400632577712476,0.5127219927343283
MACRO,wrrf_strong,225,0.45334516445358797,0.3972407644633671,0.506784700467636
MACRO,moe,225,0.46179192622175014,0.4063428174292081,0.5163002893573241
