method_a,method_b,n,mean_diff,t,p_value,cohens_d,p_holm,significant,significant_holm
wrrf_weak,bm25,225,0.09513732812830339,4.430615965788633,1.4702827462965739e-05,0.2953743977192422,0.00017643392955558887,yes,yes
wrrf_weak,dense,225,0.008090203953490012,0.623382412925505,0.5336674738768029,0.041558827528367,1.0,no,no
wrrf_weak,static_rrf,225,0.031697243459086574,2.4974639278632074,0.01322784556011466,0.16649759519088048,0.11905061004103194,yes,no
wrrf_strong,bm25,225,0.0913288594911431,3.8848695599274206,0.00013482271852533693,0.2589913039951614,0.0013482271852533693,yes,yes
wrrf_strong,dense,225,0.004281735316329702,0.4767311182344163,0.6340183302342175,0.031782074548961085,1.0,no,no
wrrf_strong,static_rrf,225,0.027888774821926265,1.7315066051103563,0.08473825281756077,0.11543377367402374,0.5931677697229254,no,no
moe,bm25,225,0.09977562125930525,4.102326039006223,5.7268104145366445e-05,0.2734884026004149,0.0006299491455990309,yes,yes
moe,dense,225,0.012728497084491872,1.6695150008364326,0.0964122428820475,0.11130100005576216,0.5931677697229254,no,no
moe,static_rrf,225,0.03633553659008844,2.0970309572196264,0.03711263553805133,0.13980206381464177,0.29690108430441065,yes,no
wrrf_weak,wrrf_strong,225,0.0038084686371603095,0.4409834725556173,0.6596502804730041,0.02939889817037449,1.0,no,no
wrrf_weak,moe,225,-0.00463829313100186,-0.4683061382506986,0.6400210455876204,-0.031220409216713242,1.0,no,no
wrrf_strong,moe,225,-0.008446761768162168,-1.5023858186839891,0.13440591397345858,-0.10015905457893262,0.6720295698672929,no,no
