group,method,n,mean,ci_low,ci_high
scifact,bm25,45,0.7955555555555555,0.6622222222222223,0.9066666666666666
scifact,dense,45,0.8844444444444444,0.7733333333333333,0.9733333333333333
scifact,static_rrf,45,0.9066666666666666,0.7955555555555555,0.9777777777777777
scifact,wrrf_weak,45,0.9066666666666666,0.7955555555555555,0.9777777777777777
scifact,wrrf_strong,45,0.9066666666666666,0.7955555555555555,0.9777777777777777
scifact,moe,45,0.9066666666666666,0.7955555555555555,0.9777777777777777
nfcorpus,bm25,45,0.21857331950863176,0.142816523857442,0.30641527149094117
nfcorpus,dense,45,0.2636253840826635,0.18605596362568058,0.35053268982071745
nfcorpus,static_rrf,45,0.2535265359450288,0.1770083312196748,0.3449964822444758
nfcorpus,wrrf_weak,45,0.26913507811947823,0.19137095330352788,0.35846574052247077
nfcorpus,wrrf_strong,45,0.2631461709197818,0.18707270714397972,0.3497224107822315
nfcorpus,moe,45,0.2701564336865119,0.19287636684902884,0.357752473244648
arguana,bm25,45,0.8,0.6888888888888889,0.9111111111111111
arguana,dense,45,0.9555555555555556,0.8888888888888888,1.0
arguana,static_rrf,45,0.9555555555555556,0.8888888888888888,1.0
arguana,wrrf_weak,45,0.9555555555555556,0.8888888888888888,1.0
arguana,wrrf_strong,45,0.9555555555555556,0.8888888888888888,1.0
arguana,moe,45,0.9333333333333333,0.8444444444444444,1.0
fiqa,bm25,45,0.4144973544973544,0.3026362433862434,0.5223769841269841
fiqa,dense,45,0.6848148148148148,0.5792407407407407,0.782962962962963
fiqa,static_rrf,45,0.6577777777777777,0.5540092592592593,0.761111111111111
fiqa,wrrf_weak,45,0.6644444444444444,0.5573888888888888,0.7681574074074072
fiqa,wrrf_strong,45,0.6874074074074075,0.5788703703703703,0.784824074074074
fiqa,moe,45,0.6903703703703703,0.5814722222222222,0.7840833333333334
scidocs,bm25,45,0.33555555555555555,0.25999999999999995,0.4222222222222222
scidocs,dense,45,0.43000000000000005,0.34663888888888894,0.5144444444444444
scidocs,static_rrf,45,0.43000000000000005,0.3388611111111111,0.5266666666666666
scidocs,wrrf_weak,45,0.4433333333333333,0.3510833333333334,0.5411111111111111
scidocs,wrrf_strong,45,0.4433333333333333,0.3533333333333334,0.5355555555555556
scidocs,moe,45,0.43444444444444436,0.3433333333333334,0.5266944444444445
MACRO,bm25,225,0.5128363570234196,0.4565338445740092,0.5677390500090208
MACRO,dense,225,0.6436880397794956,0.5921112600386077,0.6962338012912851
MACRO,static_rrf,225,0.6407053071890058,0.5861393079851993,0.6919546160285456
MACRO,wrrf_weak,225,0.6478270156238958,0.5942882805253383,0.7003237044942895
MACRO,wrrf_strong,225,0.6512218267765489,0.5983620451592725,0.703163803246457
MACRO,moe,225,0.6469942497002653,0.592521187514073,0.7009599767038118
