method_a,method_b,n,mean_diff,t,p_value,cohens_d,significant
wrrf_weak,bm25,225,0.13499065860047618,6.7800420048746926,1.0531078094652635e-10,0.4520028003249795,yes
wrrf_weak,dense,225,0.004138975844399992,0.42053714085386584,0.6744962592900325,0.028035809390257724,no
wrrf_weak,static_rrf,225,0.0069684517299090495,2.5534929015436334,0.0113292103389788,0.17023286010290892,yes
wrrf_strong,bm25,225,0.1383854697531295,6.8755778475268485,6.070024703977132e-11,0.45837185650178996,yes
wrrf_strong,dense,225,0.007533786997053292,0.8727449776362619,0.3837366652475501,0.05818299850908413,no
wrrf_strong,static_rrf,225,0.010363262882562348,1.9685740084672207,0.05023525621263819,0.13123826723114804,no
moe,bm25,225,0.13415789267684586,6.416545589893356,8.195364906190575e-10,0.4277697059928904,yes
moe,dense,225,0.00330620992076967,0.452318841613551,0.651477029131855,0.030154589440903407,no
moe,static_rrf,225,0.006135685806278729,0.8587286793498092,0.3914081995581983,0.057248578623320626,no
wrrf_weak,wrrf_strong,225,-0.003394811152653299,-0.6989326241416575,0.4853191951541209,-0.0465955082761105,no
wrrf_weak,moe,225,0.0008327659236303207,0.12563859474957026,0.9001307001598292,0.008375906316638017,no
wrrf_strong,moe,225,0.00422757707628362,0.8633064665496181,0.38889239553919447,0.0575537644366412,no
