comparison,metric,method_a,method_b,n,mean_diff,t,p_value,cohens_d,significant
rerank_vs_orig,NDCG@100,bm25_rerank,bm25_orig,225,0.03726943406596556,3.1366598799935215,0.0019380533306013845,0.2091106586662348,yes
rerank_vs_orig,NDCG@100,dense_rerank,dense_orig,225,-0.0028045508875150275,-0.24968109386135767,0.8030627976160312,-0.016645406257423844,no
rerank_vs_orig,NDCG@100,static_rrf_rerank,static_rrf_orig,225,0.01432235655578454,1.259977025422165,0.20898874353810118,0.08399846836147767,no
rerank_vs_orig,NDCG@100,wrrf_weak_rerank,wrrf_weak_orig,225,-0.0035470002076728457,-0.3179655360459,0.7508073047837148,-0.02119770240306,no
rerank_vs_orig,NDCG@100,wrrf_strong_rerank,wrrf_strong_orig,225,-0.005118748384485837,-0.44468673357835625,0.6569755200856694,-0.029645782238557083,no
rerank_vs_orig,NDCG@100,moe_rerank,moe_orig,225,-0.007101687782207847,-0.6375681131468556,0.5244060101720671,-0.04250454087645704,no
rerank_vs_orig,MRR@100,bm25_rerank,bm25_orig,225,0.0740305394216899,3.7411045609855926,0.0002327987657615064,0.24940697073237286,yes
rerank_vs_orig,MRR@100,dense_rerank,dense_orig,225,0.0030998456291577827,0.16648013397850367,0.8679292917971325,0.011098675598566914,no
rerank_vs_orig,MRR@100,static_rrf_rerank,static_rrf_orig,225,0.02590529048798656,1.389173070545293,0.16615956406683016,0.09261153803635286,no
rerank_vs_orig,MRR@100,wrrf_weak_rerank,wrrf_weak_orig,225,-0.0030801850210050398,-0.17079513816948438,0.8645390263544224,-0.011386342544632295,no
rerank_vs_orig,MRR@100,wrrf_strong_rerank,wrrf_strong_orig,225,0.0012572310436968328,0.06555477512869795,0.9477907642209124,0.004370318341913197,no
rerank_vs_orig,MRR@100,moe_rerank,moe_orig,225,-0.007900986839221366,-0.42718867757970425,0.6696522427654036,-0.02847924517198028,no
reranked_pairwise_NDCG@100,NDCG@100,wrrf_weak_rerank,bm25_rerank,225,0.05379778877801709,4.902325582188354,1.8179034560051648e-06,0.3268217054792235,yes
reranked_pairwise_NDCG@100,NDCG@100,wrrf_weak_rerank,dense_rerank,225,0.001237597142870456,0.4439336399022644,0.6575191014643149,0.029595575993484297,no
reranked_pairwise_NDCG@100,NDCG@100,wrrf_weak_rerank,static_rrf_rerank,225,0.001138070849652262,1.0530070834204892,0.2934722984269303,0.07020047222803262,no
reranked_pairwise_NDCG@100,NDCG@100,wrrf_strong_rerank,bm25_rerank,225,0.05442448117230171,4.972562045631954,1.314004519727374e-06,0.33150413637546366,yes
reranked_pairwise_NDCG@100,NDCG@100,wrrf_strong_rerank,dense_rerank,225,0.001864289537155067,0.7101787640416906,0.478331971170513,0.047345250936112714,no
reranked_pairwise_NDCG@100,NDCG@100,wrrf_strong_rerank,static_rrf_rerank,225,0.0017647632439368726,1.2834791629692288,0.20065043502588073,0.08556527753128192,no
reranked_pairwise_NDCG@100,NDCG@100,moe_rerank,bm25_rerank,225,0.0537799781701299,4.828570336022929,2.5469101504406256e-06,0.3219046890681952,yes
reranked_pairwise_NDCG@100,NDCG@100,moe_rerank,dense_rerank,225,0.0012197865349832593,0.5336413958280517,0.5941187889274153,0.03557609305520345,no
reranked_pairwise_NDCG@100,NDCG@100,moe_rerank,static_rrf_rerank,225,0.001120260241765065,0.5670730798606312,0.5712323540558166,0.03780487199070875,no
reranked_pairwise_NDCG@100,NDCG@100,wrrf_weak_rerank,wrrf_strong_rerank,225,-0.0006266923942846106,-0.5755606678978635,0.5654899113087627,-0.03837071119319091,no
reranked_pairwise_NDCG@100,NDCG@100,wrrf_weak_rerank,moe_rerank,225,1.781060788719683e-05,0.011029027861557485,0.9912101037399572,0.0007352685241038323,no
reranked_pairwise_NDCG@100,NDCG@100,wrrf_strong_rerank,moe_rerank,225,0.0006445030021718076,0.455230640188185,0.649384244837638,0.030348709345879004,no
reranked_pairwise_MRR@100,MRR@100,wrrf_weak_rerank,bm25_rerank,225,0.018026603685608444,1.5995095084919502,0.11111692170851563,0.10663396723279671,no
reranked_pairwise_MRR@100,MRR@100,wrrf_weak_rerank,dense_rerank,225,0.0019101733033271885,0.6659126079613206,0.5061521351384924,0.04439417386408804,no
reranked_pairwise_MRR@100,MRR@100,wrrf_weak_rerank,static_rrf_rerank,225,-0.0009030939127645922,-1.4760968816885742,0.14132223214542536,-0.09840645877923829,no
reranked_pairwise_MRR@100,MRR@100,wrrf_strong_rerank,bm25_rerank,225,0.018555551113150007,1.6448113947747527,0.10141128913610016,0.1096540929849835,no
reranked_pairwise_MRR@100,MRR@100,wrrf_strong_rerank,dense_rerank,225,0.0024391207308687526,0.8586590988335969,0.39144651533978,0.0572439399222398,no
reranked_pairwise_MRR@100,MRR@100,wrrf_strong_rerank,static_rrf_rerank,225,-0.00037414648522302827,-0.5146787822502144,0.6072849561307468,-0.034311918816680956,no
reranked_pairwise_MRR@100,MRR@100,moe_rerank,bm25_rerank,225,0.017844094998393983,1.5739955584133916,0.11689979656767331,0.10493303722755945,no
reranked_pairwise_MRR@100,MRR@100,moe_rerank,dense_rerank,225,0.0017276646161127256,0.6523310183263521,0.5148564966964518,0.04348873455509015,no
reranked_pairwise_MRR@100,MRR@100,moe_rerank,static_rrf_rerank,225,-0.0010856025999790553,-1.1640751846004846,0.24563190288803693,-0.07760501230669899,no
reranked_pairwise_MRR@100,MRR@100,wrrf_weak_rerank,wrrf_strong_rerank,225,-0.0005289474275415639,-1.3458184020741817,0.17972164567108415,-0.08972122680494546,no
reranked_pairwise_MRR@100,MRR@100,wrrf_weak_rerank,moe_rerank,225,0.0001825086872144632,0.2733052410649338,0.7848704054585073,0.01822034940432892,no
reranked_pairwise_MRR@100,MRR@100,wrrf_strong_rerank,moe_rerank,225,0.0007114561147560271,1.2940837455847636,0.1969691084572556,0.08627224970565091,no
