rank,model,params_json,cv_ndcg@100
1,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 100, ""subsample"": 0.8}",0.4356255680839574
2,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}",0.4353662893236766
3,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 8, ""n_estimators"": 100, ""subsample"": 0.8}",0.4352220056211819
4,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}",0.43477079351341585
5,mlp,"{""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [512, 256], ""learning_rate_init"": 0.001}",0.4345255759497914
6,random_forest,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.43448314693174306
7,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 100, ""subsample"": 0.8}",0.4344644872979271
8,random_forest,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.434413849371195
9,mlp,"{""alpha"": 0.01, ""batch_size"": 32, ""hidden_layer_sizes"": [512], ""learning_rate_init"": 0.001}",0.43428485225223257
10,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}",0.4342291551217832
11,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}",0.4341234549528263
12,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}",0.43401100997869424
13,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.43393258882083563
14,extra_trees,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.4338874212080146
15,extra_trees,"{""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2, ""n_estimators"": 300}",0.43381445455718987
16,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.43374220639651107
17,random_forest,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.43370543552705954
18,extra_trees,"{""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.43365486428626693
19,random_forest,"{""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 100}",0.4336491550033312
