rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.385801,0.639183,0.335729,0.374615,0.407258,0.172222
2,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.385736,0.640110,0.336801,0.375226,0.403870,0.172673
3,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",0.385706,0.639152,0.336044,0.373877,0.406884,0.172574
4,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",0.385391,0.638848,0.337161,0.374029,0.403697,0.173218
5,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",0.385102,0.642295,0.334883,0.373299,0.404314,0.170717
6,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.385001,0.637942,0.335435,0.373552,0.405746,0.172332
7,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384979,0.638360,0.334916,0.372898,0.405321,0.173402
8,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384829,0.636590,0.335470,0.376905,0.405429,0.169753
9,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",0.384827,0.638111,0.334143,0.375753,0.404396,0.171732
10,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.384700,0.639012,0.333056,0.374493,0.404218,0.172720
11,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384626,0.639452,0.335373,0.374279,0.404344,0.169682
12,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384592,0.637739,0.333042,0.377073,0.404485,0.170619
13,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384554,0.640167,0.334012,0.373324,0.402680,0.172586
14,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 1.0}",0.384465,0.634798,0.335149,0.376896,0.404999,0.170482
15,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.384440,0.639094,0.335334,0.371356,0.404041,0.172376
16,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384412,0.638904,0.335954,0.373371,0.403020,0.170811
17,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384248,0.634538,0.335526,0.372173,0.405792,0.173212
18,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 1.0}",0.384239,0.635991,0.334027,0.375987,0.404395,0.170798
19,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 100, ""subsample"": 0.8}",0.384227,0.637231,0.337386,0.370744,0.401489,0.174287
20,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",0.384200,0.639169,0.334308,0.372120,0.402711,0.172692
21,xgboost,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 200, ""subsample"": 0.8}",0.384191,0.635681,0.335696,0.370955,0.404408,0.174218
