rank,model,params,macro_ndcg10,scifact,nfcorpus,arguana,fiqa,scidocs
1,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.385092,0.631228,0.326497,0.379059,0.414200,0.174474
2,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384930,0.636809,0.327799,0.374741,0.410988,0.174312
3,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384614,0.634879,0.324377,0.377943,0.411682,0.174191
4,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384292,0.633950,0.326439,0.375518,0.411285,0.174267
5,xgboost,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384126,0.636047,0.327252,0.373745,0.408054,0.175532
6,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.384002,0.632096,0.328688,0.375234,0.410071,0.173923
7,xgboost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.3, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.383833,0.634101,0.329143,0.372992,0.408822,0.174107
8,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.383754,0.634487,0.323189,0.376640,0.412674,0.171781
9,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.383689,0.632472,0.324505,0.375418,0.412498,0.173554
10,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.3, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.383685,0.630853,0.320760,0.378992,0.412430,0.175393
11,xgboost,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.3, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.383642,0.630334,0.323871,0.375323,0.414324,0.174359
12,xgboost,"{""colsample_bytree"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.8}",0.383590,0.636051,0.327168,0.374183,0.405381,0.175166
